HOST_NEIGHBOURHOOD_LGA,YEAR_MONTH,NUMBER_OF_DISTINCT_HOST,ESTIMATED_REVENUE,ESTIMATED_REVENUE_PER_HOST
Strathfield,2020-06-01,65,677.554348,861.769231
Georges River,2020-11-01,190,2172.565836,2159.494737
Hornsby,2020-12-01,7,2948.300000,4211.857143
Bayside,2021-01-01,161,3140.395604,2821.968944
Woollahra,2020-10-01,2,3090.000000,3090.000000
Canterbury-Bankstown,2021-01-01,30,691.878788,757.900000
Randwick,2020-09-01,77,4373.786517,4796.584416
Canterbury-Bankstown,2021-01-01,49,2507.454545,1984.285714
Ryde,2020-05-01,21,9001.971429,11731.857143
Willoughby,2020-05-01,5,7012.800000,7012.800000
North Sydney,2021-04-01,20,5496.857143,5771.700000
Willoughby,2021-04-01,86,2629.226563,3562.034884
Woollahra,2020-12-01,4,15385.500000,15385.500000
Fairfield,2020-10-01,1,319.000000,638.000000
Ryde,2021-02-01,7,5457.571429,4600.428571
Hunters Hill,2020-10-01,9,9326.666667,9326.666667
Liverpool,2020-12-01,2,5625.000000,5625.000000
Campbelltown,2021-03-01,2,57500.000000,43755.000000
Campbelltown,2020-05-01,1,6030.000000,6030.000000
Lane Cove,2021-01-01,36,3860.650000,4143.777778
Cumberland,2021-04-01,17,2167.894737,2047.058824
Canada Bay,2020-05-01,1,4500.000000,4500.000000
Strathfield,2021-04-01,7,3037.500000,3471.428571
Canada Bay,2020-07-01,1,1320.000000,1320.000000
Parramatta,2020-10-01,4,2530.000000,3162.500000
Woollahra,2020-07-01,1,4640.000000,4640.000000
Strathfield,2020-05-01,2,900.000000,900.000000
Hornsby,2021-04-01,1,2100.000000,2100.000000
Woollahra,2020-10-01,1,1200.000000,1200.000000
Waverley,2021-04-01,1,2799.000000,2799.000000
Waverley,2020-08-01,1159,4903.043992,3441.064711
Woollahra,2021-01-01,176,7374.056701,6863.562500
Bayside,2020-10-01,212,1873.698842,1589.278302
Randwick,2020-09-01,1099,4763.069182,1771.605096
Georges River,2021-03-01,30,2179.729730,2688.333333
Hornsby,2021-02-01,12,1186.062500,1471.500000
Mosman,2020-06-01,144,8775.211382,12734.652778
Sydney,2020-07-01,1637,4245.302705,1071.117899
Willoughby,2021-01-01,67,3696.848101,3857.477612
Inner West,2021-04-01,280,2378.243968,2510.610714
North Sydney,2020-09-01,333,2642.198853,3106.666667
North Sydney,2020-08-01,308,4975.562310,2885.779221
Waverley,2020-10-01,423,6239.839479,3390.345154
Woollahra,2021-04-01,99,6775.564815,5701.525253
Inner West,2020-12-01,602,3591.076495,2502.980066
Inner West,2020-08-01,314,1924.029268,1869.996815
Mosman,2020-11-01,247,9039.195373,10439.542510
Woollahra,2020-08-01,158,6574.163551,7018.234177
Northern Beaches,2020-08-01,573,5867.065243,5654.828970
Randwick,2021-04-01,47,6040.687500,6060.702128
Inner West,2020-05-01,156,4220.175758,2829.282051
Waverley,2020-10-01,316,6025.489614,3821.740506
Northern Beaches,2020-07-01,364,10117.279279,6038.302198
Woollahra,2021-02-01,371,6358.115942,3998.167116
North Sydney,2020-05-01,429,5523.961620,2570.974359
Mosman,2021-01-01,66,11717.528736,14198.863636
Canterbury-Bankstown,2020-10-01,67,1869.777778,1680.358209
Inner West,2021-04-01,47,4048.127660,3734.085106
Strathfield,2020-12-01,63,1340.360000,1409.396825
Canterbury-Bankstown,2020-05-01,70,821.573643,826.957143
Mosman,2021-04-01,71,10467.625000,12365.816901
Canterbury-Bankstown,2021-03-01,116,1137.110497,1102.767241
Waverley,2021-01-01,51,7065.850000,7742.176471
Sydney,2021-04-01,19,46632.450000,26280.473684
Hornsby,2021-01-01,4,6275.500000,6275.500000
Sutherland Shire,2021-04-01,26,5077.192308,4304.115385
Hunters Hill,2021-02-01,10,3905.900000,3485.900000
Bayside,2020-12-01,318,2258.027273,2101.745283
Northern Beaches,2021-01-01,409,10434.482897,8073.740831
Sutherland Shire,2021-02-01,45,3581.918367,3829.200000
Sydney,2021-04-01,153,4069.601266,3629.653595
Willoughby,2020-07-01,102,3957.224638,4069.294118
Randwick,2020-06-01,1518,4908.045089,1646.466403
Burwood,2021-03-01,51,2334.393939,2270.980392
Willoughby,2020-10-01,81,3047.247934,3691.962963
Lane Cove,2021-02-01,73,3498.720721,5100.945205
Mosman,2020-12-01,128,12428.538860,15587.093750
Burwood,2021-01-01,17,1302.586207,2220.294118
Strathfield,2021-02-01,38,873.640000,1113.210526
Burwood,2020-12-01,39,2087.305085,2818.743590
Bayside,2020-08-01,29,2218.135135,2178.310345
Mosman,2020-10-01,58,8386.112676,9210.586207
The Hills Shire,2020-07-01,4,5414.400000,6768.000000
Bayside,2020-10-01,5,1500.000000,1800.000000
Sutherland Shire,2021-02-01,25,3598.129032,4004.280000
Cumberland,2021-02-01,52,1209.800000,1881.076923
Lane Cove,2020-05-01,93,2311.910448,3193.946237
Bayside,2021-01-01,218,2758.620818,2417.614679
Canada Bay,2020-10-01,17,4694.117647,4438.235294
Sutherland Shire,2020-10-01,29,5826.206897,5133.103448
Canada Bay,2021-04-01,29,4610.833333,4928.275862
Sutherland Shire,2020-10-01,14,3872.785714,3690.642857
Sutherland Shire,2020-08-01,50,5485.200000,3979.800000
Cumberland,2021-04-01,19,1759.600000,2220.526316
Northern Beaches,2020-08-01,19,14408.800000,18958.947368
Blacktown,2021-01-01,2,1460.000000,2190.000000
Woollahra,2020-09-01,6,7583.333333,7583.333333
Liverpool,2021-04-01,2,2943.000000,2943.000000
Lane Cove,2020-10-01,10,4092.000000,4092.000000
Campbelltown,2020-10-01,2,2491.000000,2491.000000
Hornsby,2020-05-01,5,1299.285714,1819.000000
Blacktown,2021-01-01,1,40104.000000,40104.000000
Mosman,2020-12-01,1,49260.000000,49260.000000
Sydney,2020-12-01,2,7305.000000,7305.000000
Campbelltown,2021-04-01,1,0.000000,0.000000
Campbelltown,2020-05-01,2,1381.600000,3454.000000
Fairfield,2021-04-01,1,3852.000000,3852.000000
Penrith,2020-10-01,1,3000.000000,3000.000000
Sydney,2020-11-01,4156,3691.759631,1423.683109
Cumberland,2020-05-01,29,3098.614035,5745.034483
Randwick,2020-08-01,878,4835.613320,1908.681093
Northern Beaches,2020-10-01,117,9655.222222,7576.393162
North Sydney,2020-10-01,143,3954.312102,3116.482517
Waverley,2020-10-01,712,5810.048934,3865.772472
Randwick,2020-07-01,617,4588.578947,1744.241491
Bayside,2021-02-01,167,1781.717949,2073.383234
Cumberland,2020-06-01,48,3505.762712,3554.791667
Randwick,2021-03-01,116,4370.162393,3415.637931
Woollahra,2021-02-01,423,8170.562030,8306.241135
Northern Beaches,2021-04-01,420,9003.530172,5459.257143
North Sydney,2020-07-01,248,4564.158055,3956.532258
Lane Cove,2021-01-01,36,5270.347826,6577.666667
Burwood,2020-05-01,51,2470.301587,1928.019608
Mosman,2020-12-01,128,10590.207254,14099.750000
Canterbury-Bankstown,2020-07-01,89,2474.081633,1689.775281
Cumberland,2020-05-01,46,4006.363636,4539.130435
Georges River,2021-02-01,83,1640.630252,1962.722892
Georges River,2020-08-01,75,2380.561798,2026.533333
Sydney,2020-08-01,177,5742.000000,5169.728814
North Sydney,2020-10-01,56,5168.830508,4575.196429
Cumberland,2020-11-01,86,1611.914894,1996.220930
Mosman,2020-10-01,86,10099.412500,17079.720930
North Sydney,2020-12-01,279,4438.967213,4257.659498
Strathfield,2021-02-01,33,2630.714286,2690.000000
Bayside,2021-01-01,89,3233.601770,3106.325843
Canterbury-Bankstown,2021-01-01,70,2206.924051,1973.814286
Canterbury-Bankstown,2021-01-01,100,1449.500000,1347.190000
Lane Cove,2020-07-01,36,5970.000000,4836.666667
Ryde,2020-07-01,14,4375.166667,4114.642857
Canterbury-Bankstown,2021-04-01,58,2985.762712,2111.379310
Canada Bay,2020-07-01,90,3644.229167,3306.511111
Bayside,2020-10-01,5,4814.000000,4814.000000
Sydney,2021-03-01,13,4317.812500,4760.384615
Canada Bay,2020-08-01,86,2005.029703,2199.395349
Randwick,2021-01-01,399,4881.750583,3197.889724
Ryde,2021-01-01,16,2815.095238,2944.812500
Sutherland Shire,2021-04-01,39,4440.309524,4051.871795
Northern Beaches,2021-04-01,39,6762.357143,6578.692308
Lane Cove,2020-10-01,51,2859.523810,3374.117647
Burwood,2020-12-01,59,1601.240741,2330.966102
Parramatta,2020-10-01,12,2601.916667,2601.916667
Ryde,2021-02-01,17,2987.500000,3165.294118
Strathfield,2020-05-01,13,1171.105263,1711.615385
The Hills Shire,2020-10-01,3,166.333333,166.333333
Waverley,2020-10-01,5,5538.000000,5538.000000
Canada Bay,2020-07-01,37,3135.285714,3200.324324
Canada Bay,2020-09-01,41,2582.243902,2289.560976
Fairfield,2021-02-01,2,1421.000000,6394.500000
Ryde,2020-10-01,23,2215.807692,2246.565217
Fairfield,2020-11-01,2,1738.400000,8692.000000
Strathfield,2021-02-01,23,999.640000,1086.565217
Hornsby,2020-11-01,15,2387.555556,4297.600000
Ryde,2020-11-01,64,2433.666667,2592.781250
Willoughby,2021-04-01,15,15498.666667,15098.666667
Cumberland,2020-07-01,22,2947.560000,3008.590909
Penrith,2021-01-01,6,7137.333333,14274.666667
Hornsby,2021-03-01,4,4854.000000,6067.500000
Blacktown,2020-07-01,5,2401.666667,1587.800000
Randwick,2020-10-01,4,7807.500000,7807.500000
Penrith,2020-09-01,2,849.000000,1698.000000
Willoughby,2020-12-01,3,1800.000000,1800.000000
Hornsby,2020-08-01,4,3585.000000,5377.500000
Blacktown,2020-10-01,4,750.333333,1125.500000
The Hills Shire,2020-07-01,1,1200.000000,1200.000000
Mosman,2021-03-01,3,12830.000000,12830.000000
Northern Beaches,2020-12-01,2,9300.000000,9300.000000
Burwood,2020-05-01,3,2219.333333,2219.333333
Penrith,2020-09-01,3,1140.000000,1140.000000
Liverpool,2020-09-01,1,2970.000000,2970.000000
Sydney,2020-05-01,3,2320.000000,2320.000000
Campbelltown,2020-08-01,1,6870.000000,6870.000000
Woollahra,2021-03-01,1,9900.000000,9900.000000
Blacktown,2021-01-01,1,1450.000000,4350.000000
Woollahra,2020-09-01,416,7739.861759,8425.939904
North Sydney,2021-04-01,251,4701.492701,3222.625498
Northern Beaches,2020-11-01,1279,9895.421309,6796.079750
Waverley,2021-02-01,1291,5933.328814,2456.235476
Hornsby,2020-05-01,15,1558.962963,2806.133333
Ryde,2020-12-01,33,2700.050000,3015.515152
Inner West,2020-06-01,1151,4614.866667,1590.631625
Cumberland,2020-06-01,65,1584.396947,2866.123077
Northern Beaches,2020-08-01,228,8175.786486,11045.179825
Randwick,2021-02-01,802,4759.514009,2304.936409
Waverley,2020-09-01,1200,5824.896830,4654.305833
Northern Beaches,2021-01-01,385,11032.772636,10305.927273
Bayside,2021-03-01,56,2258.938462,2362.517857
North Sydney,2021-04-01,82,5028.152174,4064.878049
Hunters Hill,2020-08-01,13,6357.692308,5676.923077
Hunters Hill,2020-06-01,23,5029.304348,5029.304348
Canterbury-Bankstown,2020-08-01,94,2382.923810,1595.819149
Strathfield,2021-03-01,10,1145.600000,1145.600000
Canada Bay,2020-06-01,139,4552.960784,3072.107914
Sutherland Shire,2020-09-01,60,3300.376812,3735.433333
Georges River,2021-04-01,6,267.666667,267.666667
Hornsby,2020-06-01,15,1466.333333,2422.666667
Woollahra,2021-01-01,25,19526.823529,26556.480000
Burwood,2021-04-01,24,1104.269231,2293.041667
Burwood,2020-07-01,31,2644.013889,5831.580645
Parramatta,2020-08-01,17,1101.564103,2269.470588
Fairfield,2021-04-01,2,837.666667,2513.000000
Hunters Hill,2020-07-01,9,7440.000000,7440.000000
Randwick,2020-10-01,404,4761.746204,2833.378713
Georges River,2020-10-01,15,3763.333333,4436.000000
Hunters Hill,2020-09-01,5,8591.000000,8591.000000
Inner West,2021-01-01,100,1868.735849,1706.610000
Sutherland Shire,2021-04-01,14,5826.428571,5119.285714
Lane Cove,2020-09-01,96,2609.083333,4068.552083
Sutherland Shire,2020-10-01,8,5752.500000,5752.500000
Ryde,2021-03-01,29,3221.785714,4208.793103
Willoughby,2021-02-01,35,3372.868421,3661.971429
Parramatta,2021-01-01,8,1822.200000,2277.750000
Burwood,2021-03-01,31,1288.508197,2444.322581
Penrith,2021-04-01,2,5157.000000,15471.000000
Parramatta,2021-01-01,5,989.500000,1880.200000
Ryde,2020-07-01,45,9592.477273,11041.200000
Willoughby,2021-03-01,22,4047.520000,4463.090909
Cumberland,2020-10-01,21,2180.961538,2700.238095
Canterbury-Bankstown,2021-04-01,7,3261.428571,1654.285714
Bayside,2020-05-01,17,909.684211,1016.705882
Lane Cove,2020-07-01,1,5040.000000,5040.000000
Bayside,2020-07-01,9,2925.666667,2925.666667
Parramatta,2021-01-01,10,3982.714286,5125.800000
Sutherland Shire,2021-04-01,2,885.000000,885.000000
Ryde,2021-03-01,9,4202.000000,4202.000000
Sutherland Shire,2020-08-01,2,1500.000000,1500.000000
Fairfield,2020-09-01,2,936.500000,936.500000
Blacktown,2020-05-01,6,1143.333333,1715.000000
Fairfield,2021-02-01,1,4354.000000,4354.000000
Georges River,2020-12-01,1,1230.000000,1230.000000
Ryde,2020-10-01,1,4470.000000,4470.000000
Liverpool,2021-01-01,3,1496.250000,1995.000000
North Sydney,2020-10-01,3,1380.000000,1380.000000
Campbelltown,2020-09-01,1,0.000000,0.000000
Cumberland,2020-07-01,4,1720.000000,1720.000000
Sydney,2020-07-01,2,2360.000000,2360.000000
Fairfield,2020-10-01,2,4734.666667,7102.000000
Liverpool,2020-09-01,1,1650.000000,1650.000000
Fairfield,2020-12-01,1,163.333333,490.000000
Randwick,2020-05-01,1,15030.000000,15030.000000
Randwick,2020-11-01,1716,4587.423398,2061.253497
Mosman,2020-09-01,132,9107.289683,15177.954545
Waverley,2021-04-01,1204,6719.422958,2641.039037
Northern Beaches,2021-03-01,625,10613.443213,5362.185600
Canterbury-Bankstown,2020-07-01,141,1032.378109,968.843972
North Sydney,2020-05-01,93,4031.212963,4204.849462
Bayside,2020-06-01,431,3286.884990,1131.907193
Sydney,2020-05-01,80,5567.096386,4350.487500
Lane Cove,2020-07-01,92,2597.751724,3629.108696
Canterbury-Bankstown,2021-03-01,39,2686.477273,2890.128205
Sydney,2020-06-01,4430,3923.198338,1427.812641
Northern Beaches,2020-05-01,606,6525.721193,6097.092409
Sydney,2020-09-01,846,4419.275789,2580.984634
Sutherland Shire,2021-04-01,31,3414.777778,3965.548387
Waverley,2020-05-01,42,7096.500000,6192.214286
North Sydney,2021-04-01,149,3117.935065,3926.832215
Waverley,2020-08-01,91,4631.628866,3907.340659
Canada Bay,2021-04-01,54,4425.285714,4878.018519
Georges River,2021-03-01,96,2587.447154,2232.041667
Canterbury-Bankstown,2020-11-01,272,1618.170799,1198.996324
Parramatta,2021-03-01,12,1075.921053,2590.666667
Inner West,2020-05-01,29,3362.612903,3337.965517
Georges River,2021-02-01,18,2797.190476,3196.722222
Georges River,2020-07-01,21,3672.000000,4060.000000
Strathfield,2020-08-01,57,593.450704,735.000000
Georges River,2021-04-01,32,2568.611111,2334.687500
Inner West,2020-05-01,537,3031.190608,2673.355680
Woollahra,2020-08-01,21,29201.840000,34747.428571
Canterbury-Bankstown,2020-07-01,35,2887.024390,2722.800000
Hunters Hill,2021-01-01,3,2456.333333,2456.333333
Sydney,2020-10-01,26,6650.666667,8269.307692
Randwick,2020-05-01,38,3531.850000,3512.473684
Ryde,2021-02-01,35,3284.836364,4707.714286
Randwick,2021-01-01,433,4366.757764,2953.838337
Ryde,2020-09-01,48,1681.324324,2172.041667
Canada Bay,2021-01-01,44,3291.040000,3296.636364
Inner West,2021-03-01,492,2653.564945,2311.778455
Hunters Hill,2020-08-01,22,4701.227273,4697.590909
Lane Cove,2021-02-01,38,3841.720930,4316.684211
Canterbury-Bankstown,2021-02-01,94,2480.377358,1785.957447
Hornsby,2021-03-01,11,1549.466667,2061.090909
Parramatta,2020-09-01,16,1292.785714,3016.000000
Hunters Hill,2020-10-01,7,3398.000000,3386.571429
Blacktown,2020-09-01,1,1450.000000,4350.000000
Ryde,2021-01-01,18,2935.947368,3099.055556
Burwood,2020-10-01,23,580.558140,1007.130435
Penrith,2020-08-01,6,554.133333,1385.333333
Hunters Hill,2020-10-01,9,4165.000000,4165.000000
Hornsby,2020-07-01,14,2633.806452,2767.285714
Ryde,2020-09-01,2,2802.000000,2802.000000
Ryde,2020-08-01,3,990.000000,990.000000
Blacktown,2021-03-01,2,1462.500000,2175.000000
Liverpool,2020-05-01,6,1749.500000,3929.333333
Parramatta,2020-08-01,8,4120.000000,6180.000000
Liverpool,2021-01-01,1,1650.000000,1650.000000
Liverpool,2021-02-01,6,1486.555556,1808.500000
Campbelltown,2020-12-01,2,23693.333333,34540.000000
Randwick,2020-07-01,5,3735.200000,3445.200000
Cumberland,2021-03-01,9,3225.555556,6121.111111
Hornsby,2021-04-01,8,2128.666667,2394.750000
Liverpool,2020-10-01,4,2016.600000,2520.750000
Hunters Hill,2020-05-01,1,8070.000000,8070.000000
Parramatta,2021-04-01,2,3712.500000,7425.000000
Penrith,2021-01-01,2,14912.250000,32527.000000
Liverpool,2020-07-01,1,3916.000000,3916.000000
Willoughby,2021-02-01,142,2800.583732,3413.464789
Northern Beaches,2021-03-01,556,8715.172043,10920.462230
Sydney,2020-05-01,1638,2718.806312,2279.759463
Sydney,2020-07-01,1722,4943.581367,2110.967480
Inner West,2020-07-01,566,4844.970543,2746.355124
Randwick,2021-04-01,696,4789.917431,2029.393678
Sydney,2020-10-01,515,3995.110368,2624.858252
Georges River,2020-05-01,21,1739.913043,1832.761905
Waverley,2020-11-01,2945,5900.032373,2351.152122
North Sydney,2020-06-01,292,2541.975610,2988.277397
Northern Beaches,2021-04-01,322,10109.229798,8334.673913
Willoughby,2020-11-01,269,5306.040984,5491.516729
Bayside,2020-10-01,183,2042.817734,1468.207650
Northern Beaches,2021-01-01,293,12100.933862,12318.945392
North Sydney,2020-06-01,525,5140.804276,2757.373333
Woollahra,2020-05-01,346,5886.371308,6776.011561
North Sydney,2021-01-01,179,4186.843318,4109.374302
Sydney,2020-10-01,699,4806.997465,3018.241774
Bayside,2020-05-01,416,3358.244094,1217.759615
Mosman,2020-09-01,47,6575.673077,6222.021277
Hunters Hill,2020-12-01,25,4657.240000,4377.240000
Liverpool,2020-10-01,1,3320.000000,9960.000000
Sutherland Shire,2021-02-01,49,5613.673469,4518.367347
Sydney,2020-09-01,2670,4330.997235,1153.732584
Northern Beaches,2020-10-01,288,7647.412979,5670.604167
Lane Cove,2021-03-01,17,3278.555556,3471.411765
Canada Bay,2020-05-01,108,1708.094595,2109.166667
Canada Bay,2021-04-01,66,4013.283582,3091.818182
Sutherland Shire,2020-05-01,13,4249.357143,4576.230769
Sutherland Shire,2020-12-01,49,5800.551020,4674.020408
Mosman,2021-03-01,23,19101.080000,20762.043478
Canterbury-Bankstown,2020-07-01,12,1397.000000,1397.000000
Sydney,2020-12-01,49,5171.855072,6333.836735
Blacktown,2021-03-01,3,1470.333333,1297.666667
Cumberland,2020-05-01,47,874.152941,1411.191489
Blacktown,2021-01-01,1,0.000000,0.000000
Cumberland,2021-01-01,24,1425.103448,1646.916667
Strathfield,2020-10-01,27,462.235294,578.185185
Burwood,2020-11-01,90,1352.622093,1805.777778
Mosman,2021-03-01,115,10351.241611,11001.173913
Liverpool,2020-11-01,7,1471.285714,1471.285714
Strathfield,2020-09-01,16,2090.000000,2477.500000
Sutherland Shire,2020-12-01,3,4100.000000,4100.000000
Cumberland,2021-03-01,50,1698.060976,2654.620000
Waverley,2020-06-01,84,3933.744444,3666.642857
Hornsby,2020-06-01,5,2952.000000,2952.000000
Lane Cove,2020-10-01,33,5700.971429,4619.212121
Strathfield,2020-10-01,16,2475.000000,2784.375000
Sutherland Shire,2020-12-01,63,4895.232877,5404.952381
Canterbury-Bankstown,2020-10-01,43,1868.568182,1511.906977
Liverpool,2021-01-01,3,1619.333333,1619.333333
Canada Bay,2020-05-01,11,3013.636364,3013.636364
Ryde,2020-12-01,37,3308.909091,3857.081081
Cumberland,2020-09-01,53,1117.989130,1873.905660
Hornsby,2021-04-01,2,3300.000000,4950.000000
Willoughby,2020-08-01,8,695.000000,955.625000
Parramatta,2020-12-01,7,3677.866667,7326.000000
Blacktown,2020-07-01,1,1320.000000,3960.000000
Hunters Hill,2021-02-01,20,4313.750000,4309.750000
Blacktown,2021-01-01,2,22307.500000,22307.500000
Hunters Hill,2021-01-01,4,6045.000000,3952.500000
The Hills Shire,2020-09-01,2,915.000000,915.000000
Burwood,2021-04-01,18,2034.482759,2761.111111
Hunters Hill,2021-03-01,1,1740.000000,1740.000000
Penrith,2020-05-01,1,1530.000000,1530.000000
Parramatta,2020-10-01,5,3755.000000,4506.000000
Blacktown,2021-04-01,3,1257.000000,645.000000
Penrith,2021-02-01,7,7617.137931,13681.428571
Blacktown,2020-12-01,3,784.000000,1306.666667
Penrith,2020-06-01,2,3150.000000,3150.000000
Liverpool,2021-03-01,5,3194.111111,4951.800000
Burwood,2020-08-01,2,5355.000000,5355.000000
Camden,2020-07-01,1,10785.000000,19413.000000
Blacktown,2020-05-01,3,3048.000000,5080.000000
The Hills Shire,2020-09-01,2,3632.000000,2956.500000
Blacktown,2021-04-01,1,1530.000000,3060.000000
Campbelltown,2021-02-01,2,35571.200000,45094.000000
The Hills Shire,2021-01-01,1,468.000000,468.000000
Georges River,2020-10-01,2,1050.000000,1050.000000
The Hills Shire,2021-01-01,1,1005.000000,2010.000000
The Hills Shire,2021-02-01,1,1005.000000,2010.000000
Blacktown,2020-09-01,1,0.000000,0.000000
Hunters Hill,2021-03-01,24,5352.560000,5575.583333
Campbelltown,2020-08-01,3,376.333333,376.333333
Woollahra,2020-07-01,260,7372.164804,8706.526923
Sydney,2020-10-01,1151,3575.545649,2055.668983
Canterbury-Bankstown,2021-04-01,75,1439.609756,1125.040000
Burwood,2020-09-01,40,795.210000,1660.700000
Canada Bay,2021-02-01,89,4415.100000,3574.719101
Randwick,2021-02-01,682,4392.742373,3083.777126
Randwick,2020-05-01,1262,5014.450408,1473.900951
Georges River,2020-10-01,59,1903.471429,1932.932203
Lane Cove,2021-02-01,59,6326.552239,5798.542373
Strathfield,2021-04-01,42,493.808511,549.023810
Ryde,2020-10-01,21,1840.172414,2445.952381
North Sydney,2021-04-01,161,4321.776119,3766.534161
Hunters Hill,2020-07-01,12,8200.666667,7853.166667
Inner West,2020-09-01,233,3736.733871,2201.373391
Parramatta,2020-11-01,24,1715.978723,2972.541667
Burwood,2020-09-01,3,902.333333,902.333333
North Sydney,2020-07-01,229,4854.826715,3226.803493
Burwood,2020-09-01,55,2184.177215,2225.272727
Mosman,2021-04-01,68,8590.157895,13643.470588
Woollahra,2020-12-01,333,7574.456576,7449.837838
Hunters Hill,2020-07-01,16,8022.875000,8017.875000
Waverley,2020-08-01,47,6499.551020,6549.957447
Willoughby,2020-08-01,136,1959.500000,2619.485294
Georges River,2020-05-01,105,1913.886792,2617.552381
Mosman,2021-04-01,76,11168.219780,12792.210526
Cumberland,2021-04-01,32,1132.483871,1897.937500
Lane Cove,2020-10-01,48,3100.661017,3811.229167
Canada Bay,2020-08-01,103,4499.444444,3366.116505
Strathfield,2020-10-01,22,2177.160000,2405.863636
Randwick,2020-08-01,30,4871.594595,5942.966667
Hunters Hill,2021-04-01,6,9082.500000,9082.500000
Blacktown,2020-11-01,4,1062.777778,2391.250000
Ryde,2020-05-01,1,62640.000000,62640.000000
Strathfield,2021-01-01,25,1193.423077,1235.760000
Sutherland Shire,2020-10-01,12,5412.500000,5037.500000
Bayside,2021-01-01,184,2816.686275,1683.027174
Inner West,2020-09-01,875,4137.194387,1477.715429
Inner West,2021-03-01,123,3919.707692,3561.560976
Georges River,2020-09-01,98,1666.882353,2245.183673
Woollahra,2020-09-01,531,7693.797297,4934.026365
Parramatta,2021-01-01,5,3755.000000,3755.000000
Georges River,2020-07-01,65,2499.960000,1948.107692
Canterbury-Bankstown,2020-05-01,124,2553.220690,1332.475806
Ryde,2020-10-01,11,3518.916667,3429.727273
Burwood,2021-02-01,21,1791.073171,3108.285714
Campbelltown,2020-06-01,2,1599.800000,3999.500000
Sydney,2020-10-01,16,5413.125000,5038.125000
Parramatta,2021-03-01,5,4517.833333,5421.400000
Waverley,2020-12-01,16,7124.111111,7920.875000
Blacktown,2020-06-01,2,2326.600000,5816.500000
Cumberland,2021-04-01,3,3440.000000,3440.000000
Lane Cove,2020-09-01,31,5012.032258,4494.290323
Sutherland Shire,2021-03-01,11,3201.000000,3201.000000
Penrith,2020-09-01,4,6322.777778,5523.500000
Hornsby,2020-09-01,7,3256.857143,3256.857143
Hornsby,2020-07-01,1,2581.000000,2581.000000
Strathfield,2020-08-01,2,3180.000000,3180.000000
Blacktown,2021-04-01,3,1784.666667,1784.666667
Burwood,2021-04-01,2,7600.000000,7600.000000
Hornsby,2020-10-01,4,3022.000000,3777.500000
Cumberland,2020-05-01,5,1786.000000,1786.000000
The Hills Shire,2020-05-01,3,2320.000000,2320.000000
Penrith,2020-07-01,5,905.800000,905.800000
Randwick,2021-03-01,3,9410.000000,9410.000000
Fairfield,2021-03-01,2,828.875000,3315.500000
Hornsby,2020-10-01,5,7134.000000,7134.000000
Liverpool,2020-09-01,3,1357.750000,1810.333333
Campbelltown,2021-04-01,1,8279.500000,16559.000000
Sutherland Shire,2020-08-01,3,3040.000000,3040.000000
The Hills Shire,2021-04-01,3,12652.000000,16869.333333
Waverley,2020-07-01,4,10371.000000,10371.000000
Liverpool,2020-08-01,1,1650.000000,1650.000000
Waverley,2020-05-01,1,2280.000000,2280.000000
Fairfield,2020-05-01,1,1347.000000,1347.000000
Lane Cove,2020-08-01,1,40.000000,40.000000
Inner West,2020-10-01,5,1656.000000,1416.000000
Fairfield,2020-12-01,1,226.250000,905.000000
Liverpool,2020-06-01,1,1620.000000,1620.000000
Parramatta,2020-08-01,1,220.000000,220.000000
Bayside,2020-11-01,703,2109.032258,1228.176387
Northern Beaches,2020-12-01,809,13846.852810,13311.328801
Waverley,2020-07-01,519,3583.898698,3133.472062
Sydney,2021-04-01,609,4427.351213,2475.067323
Woollahra,2020-06-01,200,8260.952899,10388.865000
Woollahra,2020-07-01,332,6666.700831,3896.219880
Canada Bay,2021-01-01,66,3811.470588,3325.606061
Waverley,2021-03-01,214,6928.458150,5231.261682
Inner West,2020-10-01,340,3091.674797,1823.508824
Georges River,2021-01-01,62,1833.191781,1890.048387
Lane Cove,2020-08-01,59,6805.781250,5653.728814
Lane Cove,2020-11-01,170,4116.277778,4495.758824
Canada Bay,2020-06-01,111,1796.655405,2112.891892
Sydney,2020-08-01,88,1988.537736,1874.602273
Sutherland Shire,2021-03-01,56,5078.771930,4045.000000
Willoughby,2020-05-01,53,1652.963636,1564.566038
Sutherland Shire,2020-05-01,7,2801.142857,2801.142857
Burwood,2021-01-01,23,2149.361111,2687.434783
Ryde,2021-04-01,9,4152.000000,4613.333333
Northern Beaches,2021-02-01,466,11640.547273,6519.336910
Bayside,2020-07-01,302,4280.107527,1970.854305
Willoughby,2020-08-01,104,8927.213675,7833.788462
Mosman,2020-09-01,136,8476.986842,7257.808824
Lane Cove,2021-01-01,25,1730.343750,2207.800000
Lane Cove,2021-04-01,38,4016.041667,5022.368421
Mosman,2020-08-01,102,9282.530973,8520.941176
Mosman,2020-05-01,23,3631.076923,4104.695652
Inner West,2020-12-01,881,3817.806218,1649.165721
Woollahra,2020-10-01,73,20058.027027,18285.397260
Canterbury-Bankstown,2021-04-01,29,2025.151515,1807.931034
Mosman,2020-05-01,138,9423.400000,7611.210145
Northern Beaches,2020-05-01,32,11159.636364,10684.312500
Strathfield,2020-08-01,29,2786.571429,3266.896552
Burwood,2020-10-01,26,1735.805556,2143.153846
